BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_LT_12,AVE_MO_EN_PA_LT_12,AVE_PA_PAY_PA_LT_12,AVE_IP_PAY_PA_LT_12,AVE_SNF_PAY_PA_LT_12,AVE_OTH_PAY_PA_LT_12,AVE_IP_ADM_PA_LT_12,AVE_SNF_DAYS_PA_LT_12,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_LT_12,AVE_MO_EN_PB_LT_12,AVE_PB_PAY_PB_LT_12,AVE_CA_PAY_PB_LT_12,AVE_OP_PAY_PB_LT_12,AVE_OTH_PAY_PB_LT_12,AVE_CA_VST_PB_LT_12,AVE_OP_VST_PB_LT_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_LT_12,AVE_MO_EN_PC_LT_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_LT_12,AVE_MO_EN_PD_LT_12,AVE_PDE_CST_PD_LT_12,AVE_PDE_PD_LT_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12
1,1,,,0,1,,,0,0,,1,,1,1,51,7.412,47679,38608,5997,3074,2.98,16.49,241,31609,23590,6928,1091,2.257,18.697,53,7.528,14219,9132,3867,1220,6.792,7.547,238,16511,8584,5436,2491,13.126,12.324,,,,43,6.465,3478,37.744,249,9160,88.088
1,1,,,0,1,,,0,1,,0,,1,0,36,8.667,33862,30313,,,2.583,,125,29424,24029,3128,2267,2.216,7.224,37,8.486,19206,13491,4992,723,12.892,8.514,123,17246,8690,5297,3259,13.366,10.236,,,,,,,,66,7098,64.788
1,1,,,0,1,,,0,1,,0,,1,1,41,7.195,49790,41302,6903,1585,3.024,21.244,133,40395,30281,9039,1075,2.421,22.18,44,7.341,14468,10246,3211,1011,6.682,7.795,128,18843,9826,6713,2304,10.641,12.039,,,,47,6.894,3239,33.319,126,10314,83.698
1,1,,,0,1,,,0,1,,1,,1,0,37,7.216,50724,41895,,,2.838,,214,24157,20621,2473,1063,2.243,5.921,36,7.25,15280,8885,3809,2586,5.917,5.111,213,17852,8075,6622,3155,16.925,10.061,,,,30,5.2,1947,24.267,111,6327,69
1,1,,,0,1,,,0,1,,1,,1,1,,,,,,,,,166,35049,25168,8052,1829,2.169,21.386,,,,,,,,,164,17520,9466,4792,3262,14.348,11.841,,,,30,6.567,7153,43.667,163,9505,92.712
1,1,,,0,1,,,1,0,,0,,1,0,51,7.157,36365,31626,2572,2167,2.647,7.902,176,27042,24174,2217,651,2.148,5.949,50,7.06,13454,7947,4454,1053,9.96,6.88,172,15854,7810,4952,3092,14.203,11.907,,,,,,,,79,6840,75.114
1,1,,,0,1,,,1,0,,0,,1,1,39,7.128,48019,38095,6236,3688,2.308,16.974,158,41627,32176,8080,1371,2.329,24.665,41,6.927,14182,7753,4348,2081,5.927,6.951,155,20200,9947,6470,3783,11.123,12.568,,,,39,6.154,3359,34.667,157,9463,95.688
1,1,,,0,1,,,1,0,,1,,1,0,,,,,,,,,125,26680,23129,2429,1122,1.856,5.752,,,,,,,,,124,14633,7448,4585,2600,17.629,10.597,,,,,,,,61,8814,82.262
1,1,,,0,1,,,1,0,,1,,1,1,30,8.867,49946,41332,,,2.233,,196,28002,20274,7147,581,1.913,18.898,31,8.613,18641,8736,7538,2367,10.129,7.29,194,19671,8795,7014,3862,12.799,13.99,,,,,,,,201,9471,99.682
1,1,,,0,1,,,1,1,,0,,1,0,31,6.613,44779,38140,,,2.871,,182,24821,20663,2859,1299,1.896,6.5,31,6.613,18558,9676,7079,1803,7.355,9.968,181,21132,10699,6622,3811,16.89,11.912,,,,,,,,72,6734,70.986
1,1,,,0,1,,,1,1,,0,,1,1,39,7.949,46764,35817,6635,4312,2.538,18.154,147,47815,36916,9271,1628,2.993,22.265,40,7.975,16600,9388,4718,2494,7.175,8,144,31431,15447,13081,2903,15.896,17.014,,,,41,6.878,4387,47.22,146,9894,104.753
1,1,,,0,1,,,1,1,,1,,1,0,,,,,,,,,235,31203,26643,3393,1167,2.634,8.357,,,,,,,,,230,19509,10433,5800,3276,20.665,11.952,,,,,,,,96,6833,80.26
